anno,semestre,anno_semestre,facultad,proyecto,nivel,modalidad,inscritos,admitidos,primiparos,matriculados,egresados,graduados,retirados
2009,1,01/01/2009 12:00:00 AM,FACULTAD DE ARTES-ASAB,ARTE DANZARIO,PREGRADO,ARTES,,,,,,,
2009,1,01/01/2009 12:00:00 AM,FACULTAD DE ARTES-ASAB,ARTES ESCENICAS,PREGRADO,ARTES,,,,308,16,10,10
2009,1,01/01/2009 12:00:00 AM,FACULTAD DE ARTES-ASAB,ARTES MUSICALES,PREGRADO,ARTES,280,39,37,404,63,7,14
2009,1,01/01/2009 12:00:00 AM,FACULTAD DE ARTES-ASAB,ARTES PLASTICAS Y VISUALES,PREGRADO,ARTES,425,39,37,417,47,23,21
2009,1,01/01/2009 12:00:00 AM,FACULTAD DE ARTES-ASAB,ESPECIALIZACION EN VOZ ESCENICA,POSGRADO,ARTES,,,,,,,
2009,1,01/01/2009 12:00:00 AM,FACULTAD DE ARTES-ASAB,MAESTRIA EN ESTUDIOS ARTISTICOS,POSGRADO,MAESTRIA,,,,,,,
2009,1,01/01/2009 12:00:00 AM,FACULTAD DE CIENCIAS Y EDUCACION,DOCTORADO EN ESTUDIOS SOCIALES,POSGRADO,DOCTORADO,,,,,,,
2009,1,01/01/2009 12:00:00 AM,FACULTAD DE CIENCIAS Y EDUCACION,DOCTORADO INTERINSTITUCIONAL EN EDUCACION,POSGRADO,DOCTORADO,,,,33,,,
2009,1,01/01/2009 12:00:00 AM,FACULTAD DE CIENCIAS Y EDUCACION,ESPECIALIZACION EN CIENCIAS DE LA EDUCACION CON ENFASIS EN PSICOLINGUISTICA,POSGRADO,ESPECIALIZACION,,,,,,,
2009,1,01/01/2009 12:00:00 AM,FACULTAD DE CIENCIAS Y EDUCACION,ESPECIALIZACION EN DESARROLLO HUMANO CON ENFASIS EN PROCESOS AFECTIVOS Y CREATIVIDAD,POSGRADO,ESPECIALIZACION,,22,20,55,,2,
2009,1,01/01/2009 12:00:00 AM,FACULTAD DE CIENCIAS Y EDUCACION,ESPECIALIZACION EN EDUCACION EN TECNOLOGIA,POSGRADO,ESPECIALIZACION,,,15,,,,
2009,1,01/01/2009 12:00:00 AM,FACULTAD DE CIENCIAS Y EDUCACION,ESPECIALIZACION EN EDUCACION MATEMATICA,POSGRADO,ESPECIALIZACION,,22,22,33,9,1,5
